track_id,track_name,artist_name,album_name,popularity,explicit,duration_ms,spotify_url
6uNxJ1CYsFrjeC9LWHbLmw,TURKS & CAICOS,Nemzzz,RENT'S DUE (DELUXE),53,True,113902,https://open.spotify.com/track/6uNxJ1CYsFrjeC9LWHbLmw
74fnS63JH0L2vIan7siS9X,Night Drive,RUBII,Night Drive,64,False,220000,https://open.spotify.com/track/74fnS63JH0L2vIan7siS9X
7mnXKRpnCpgqvgEEWLRPY3,FIJI (feat. Cruza),Eem Triplin,Melody Of A Memory,46,True,172666,https://open.spotify.com/track/7mnXKRpnCpgqvgEEWLRPY3
0xsACxtkQkj3tCkmg0ZPUX,endlessly,Chanpan,endlessly,54,False,182466,https://open.spotify.com/track/0xsACxtkQkj3tCkmg0ZPUX
4EVkYQKxqD5JgdFSkyMjaS,Angel Eyes,The Charities,Bring Your Love / Angel Eyes,54,False,150815,https://open.spotify.com/track/4EVkYQKxqD5JgdFSkyMjaS
7H5CsjEafNygkvcm69RevN,COLD,Nemzzz,RENT'S DUE (DELUXE),70,True,143661,https://open.spotify.com/track/7H5CsjEafNygkvcm69RevN
20lwXbNDBszZz6U0q8J7sQ,Melon Heart,Overpade,Melon Heart,31,True,163475,https://open.spotify.com/track/20lwXbNDBszZz6U0q8J7sQ
178n1tTLTmsIyxBTQdcAJM,DILEMMA (feat. Central Cee),Nemzzz,RENT'S DUE (DELUXE),71,True,160489,https://open.spotify.com/track/178n1tTLTmsIyxBTQdcAJM
2NGxh1t5xm74sZOCJDqsZ3,nine - otismadeitmix,Otismadeit,nine (otismadeitmix),46,True,172478,https://open.spotify.com/track/2NGxh1t5xm74sZOCJDqsZ3
1DNjWvJU3hzaa3fgMlxK5t,righthandlayup,NicholasLamar,Motivation Muzic,44,True,106892,https://open.spotify.com/track/1DNjWvJU3hzaa3fgMlxK5t
3CSJDCWrSI2ps00cXr5dbP,ALIVE,Ye,ALIVE,55,True,118321,https://open.spotify.com/track/3CSJDCWrSI2ps00cXr5dbP
7w5jefRiOIEs0M5udJxyhd,pack up ya bags,KTmelodies,pack up ya bags,68,False,132000,https://open.spotify.com/track/7w5jefRiOIEs0M5udJxyhd
2lBjXbQjlg68X405BdMIKI,PAID,Nemzzz,RENT'S DUE (DELUXE),60,True,138541,https://open.spotify.com/track/2lBjXbQjlg68X405BdMIKI
